"","V1","V2","V3","V4","V5","V6","V7"
"1",2362.37795999452,-5369.18688391393,3695.01754861982,-659.451356344014,-1453.78192022592,2142.59997755652,-475.948337566709
"2",898.744966496479,-2198.3232554133,1564.85222705459,-237.12765430446,497.494045050123,-801.22207325124,768.352148722203
"3",-0.23230243322116,0.406706886037007,-0.186649296518728,0.025983794571739,-1.56455862106574,1.07748576497958,-0.214768664852161
"4",-0.300633454494956,0.524076072378746,-0.234239239126502,0.0323545707559693,-1.11100849574118,0.434263151176254,0.143496116958624
"5",-573.178914610463,1041.14059961229,-499.522233125609,74.0244756941117,2650.21758977849,-3480.20541892385,1725.38314204822
"6",-273.952978236043,581.229064342877,-311.356651603605,50.6126171940891,3326.43144507752,-4582.69157047425,2076.35099077412
"7",-30.0128512920861,169.784432281129,-115.086820824409,21.3077583218075,3433.99718108666,-4715.13196649741,2010.64572212656
"8",0.0367422515329663,-0.0440352715012606,0.01783752421556,-0.00243990539957426,-1.74686448384841,1.08326328650031,-0.203609172538627
"9",0.0535093063092271,-0.0640443101126215,0.0259848495967776,-0.00356804749985832,-1.41178397186448,0.5941021742168,0.0165394864714388
"10",0.292203809559854,-0.356167184443771,0.146941506121287,-0.0204886873907698,3.04264202287109,-5.80408813469012,2.79999295078923
"11",354.307863850079,-453.740097791659,196.208419529165,-28.6090459626554,7133.22141331965,-10651.3925959657,4715.70466688128
"12",363.559909905395,-482.926326531843,216.051153433246,-32.5127517902485,9018.65375436045,-14072.0875518634,6301.51884876165
"13",140.316517549141,-191.490615271797,87.8284677878024,-13.5234286292938,4676.05339654382,-7522.20128076318,3363.04708355475
"14",668.149797923621,-931.842095634842,436.019774696,-68.381116533432,31491.6993514121,-51483.1059720253,22791.9488318544
"15",137.493406049117,-195.296059264988,92.9335725759396,-14.8025673650668,9388.9431054306,-15444.856538326,6747.15743048103
"16",301.086109847575,-434.489492146155,209.798581002337,-33.8701357140746,30049.4728595389,-49422.7169033653,21286.5508258328
"17",99.0344815722352,-144.922031705263,70.8855525877959,-11.580959446107,14433.8210195993,-23659.1932155667,10053.0227216489
"18",65.2653150782039,-96.6721922020176,47.8194182243023,-7.8941296503206,14545.2739056769,-23725.8798635316,9960.33222078013
